Date,Time,Temperature,Humidity
21.04.2024,05:00:00,-9.35043,72.4191
21.04.2024,05:30:00,-9.77045,73.2692
21.04.2024,06:00:00,-9.87057,75.2091
21.04.2024,06:30:00,-9.98046,74.449
21.04.2024,07:00:00,-9.26007,70.3098
21.04.2024,07:30:00,-8.67155,66.5293
21.04.2024,08:00:00,-8.10012,62.8098
21.04.2024,08:30:00,-7.40171,59.1392
21.04.2024,09:00:00,-6.55189,56.1386
21.04.2024,09:30:00,-6.07082,54.5894
21.04.2024,10:00:00,-6.03175,53.2097
21.04.2024,10:30:00,-4.76191,50.0595
21.04.2024,11:00:00,-3.87057,46.6697
21.04.2024,11:30:00,-3.1917,46.859
21.04.2024,12:00:00,-2.50061,45.9493
21.04.2024,12:30:00,-1.6801,45.7494
21.04.2024,13:00:00,-1.43101,46.8895
21.04.2024,13:30:00,-0.420025,46.9689
21.04.2024,14:00:00,-0.23199,46.9994
21.04.2024,14:30:00,-0.652015,54.8596
21.04.2024,15:00:00,-0.510379,59.2689
21.04.2024,15:30:00,1.28938,55.8394
21.04.2024,16:00:00,0.869353,60.6685
21.04.2024,16:30:00,2.34921,58.1792
21.04.2024,17:00:00,1.85836,59.7589
21.04.2024,17:30:00,2.39805,60.899
21.04.2024,18:00:00,2.67888,62.9792
21.04.2024,18:30:00,2.62759,62.5198
21.04.2024,19:00:00,2.84982,64.4994
21.04.2024,19:30:00,2.1978,71.6087
21.04.2024,20:00:00,3.44811,64.2689
21.04.2024,20:30:00,3.69963,63.9591
21.04.2024,21:00:00,2.98901,68.3593
21.04.2024,21:30:00,3.24786,67.6999
21.04.2024,22:00:00,3.3895,67.3794
21.04.2024,22:30:00,4.06838,65.9997
21.04.2024,23:00:00,2.90842,72.6893
21.04.2024,23:30:00,3.95849,66.4988
22.04.2024,00:00:00,4.72772,61.5598
22.04.2024,00:30:00,4.92796,60.7494
22.04.2024,01:00:00,5.48962,56.5293
22.04.2024,01:30:00,4.82784,59.8291
22.04.2024,02:00:00,4.58852,59.7695
22.04.2024,02:30:00,4.68864,59.359
